Channel Name,Unit
cDG_Eng,TSC1Mode
cDN_EngOil,gpcc
cOT_EngOilCst,
cPC_EngPdl1,pct
cPC_Thr,Pct
cPR_Amb,psia
cPR_EngOil,psig
cPR_ManInt,psia
cSP_Eng,RPM
cSP_EngStp,rpm
cTM_EngOil,C
cTP_EngClt,F
cTP_ManInt,F
cVL_Bat,V
cVS_EngOil,cP
qDG_FacEspAct,bool
qFL_CcsBby,ACFM
qFL_EngAir,ACFM
qFL_EngClt,GPM
qFL_EngNag,gsec
qPR_Amb,kPa
qPR_CacDta,kPa
qPR_CacPre,kPa
qPR_CacPst,kPa
qPR_CatDta,kPa
qPR_CatPre,kPa
qPR_Ccs,kPa
qPR_CcsBby,kPa
qPR_CmpPre,kPa
qPR_CmpPst,kPa
qPR_EngAirFtrDta,kPa
qPR_EngCltPre,kPa
qPR_EngCltPst,kPa
qPR_EngLocLpgPre,kPa
qPR_EngLocLpgPst,kPa
qPR_EngLocNagPre,kPa
qPR_EngLocNagPst,kPa
qPR_EngOilGly,kPa
qPR_EprPre,kPa
qPR_ManInt,kPa
qPR_ManIntMst,kPa
qPR_ManIntSlv,kPa
qPR_MixPre,kPa
qPR_MstCacPre,kPa
qPR_MstCacPst,kPa
qPR_MstCatDta,kPa
qPR_MstCatPst,kPa
qPR_MstCmpFntPre,kPa
qPR_MstCmpFntPst,kPa
qPR_MstCmpPre,kPa
qPR_MstCmpPst,kPa
qPR_MstCmpRerPre,kPa
qPR_MstCmpRerPst,kPa
qPR_MstEngAirFtrDta,kPa
qPR_MstEngClt,kPa
qPR_MstManExh,kPa
qPR_MstPmpPre,kPa
qPR_MstPmpPst,kPa
qPR_MstRadCltPre,kPa
qPR_MstRadCltPst,kPa
qPR_MstTrbFntPre,kPa
qPR_MstTrbFntPst,kPa
qPR_MstTrbPre,kPa
qPR_MstTrbPst,kPa
qPR_MstTrbRerPre,kPa
qPR_MstTrbRerPst,kPa
qPR_OlcDta,kPa
qPR_OlcPre,kPa
qPR_OlcPst,kPa
qPR_RadCltPre,kPa
qPR_RadCltPst,kPa
qPR_SlvCacPre,kPa
qPR_SlvCacPst,kPa
qPR_SlvCatDta,kPa
qPR_SlvCatPst,kPa
qPR_SlvCmpFntPre,kPa
qPR_SlvCmpFntPst,kPa
qPR_SlvCmpPre,kPa
qPR_SlvCmpPst,kPa
qPR_SlvCmpRerPre,kPa
qPR_SlvCmpRerPst,kPa
qPR_SlvEngAirFtrDta,kPa
qPR_SlvEngClt,kPa
qPR_SlvManExh,kPa
qPR_SlvPmpPre,kPa
qPR_SlvPmpPst,kPa
qPR_SlvRadCltPre,kPa
qPR_SlvRadCltPst,kPa
qPR_SlvTrbFntPre,kPa
qPR_SlvTrbFntPst,kPa
qPR_SlvTrbPre,kPa
qPR_SlvTrbPst,kPa
qPR_SlvTrbRerPre,kPa
qPR_SlvTrbRerPst,kPa
qPR_ThrPre,kPa
qPR_TrbLftPre,kPa
qPR_TrbOut,kPa
qPR_TrbPre,kPa
qPR_TrbPst,kPa
qPR_TrbRgtPre,kPa
qSP_Fan,RPM
qSP_MstTrb,RPM
qSP_SlvTrb,RPM
qSP_Trb,RPM
qTP_Amb,C
qTP_AmbFnt,C
qTP_AmbRer,C
qTP_CacPre,C
qTP_CacPst,C
qTP_CatMid,C
qTP_CatPre,C
qTP_CatPst,C
qTP_CmpPre,C
qTP_CmpPst,C
qTP_DynCltPre,C
qTP_DynCltPst,C
qTP_EngAirIn,C
qTP_EngClt,C
qTP_EngCltPre,C
qTP_EngCltPst,C
qTP_EngOilGly,C
qTP_EngOilPan,C
qTP_EngSpk1,C
qTP_EngSpk10,C
qTP_EngSpk11,C
qTP_EngSpk12,C
qTP_EngSpk13,C
qTP_EngSpk14,C
qTP_EngSpk15,C
qTP_EngSpk16,C
qTP_EngSpk2,C
qTP_EngSpk3,C
qTP_EngSpk4,C
qTP_EngSpk5,C
qTP_EngSpk6,C
qTP_EngSpk7,C
qTP_EngSpk8,C
qTP_EngSpk9,C
qTP_ManExh,C
qTP_ManExh1,C
qTP_ManExh10,C
qTP_ManExh11,C
qTP_ManExh12,C
qTP_ManExh2,C
qTP_ManExh3,C
qTP_ManExh4,C
qTP_ManExh5,C
qTP_ManExh6,C
qTP_ManExh7,C
qTP_ManExh8,C
qTP_ManExh9,C
qTP_ManExhLft,C
qTP_ManExhLftCltPre,C
qTP_ManExhLftCltPst,C
qTP_ManExhRgt,C
qTP_ManExhRgtCltPre,C
qTP_ManExhRgtCltPst,C
qTP_ManInt,C
qTP_MstAmb,C
qTP_MstCacPre,C
qTP_MstCacPst,C
qTP_MstCatMid,C
qTP_MstCatPre,C
qTP_MstCatPst,C
qTP_MstCmpFntPst,C
qTP_MstCmpPre,C
qTP_MstCmpPst,C
qTP_MstCmpRerPst,C
qTP_MstEngAirIn,C
qTP_MstEngClt,C
qTP_MstManExh,C
qTP_MstManExhPst,C
qTP_MstManExhSfcRer,C
qTP_MstManInt,C
qTP_MstPmpPre,C
qTP_MstPmpPst,C
qTP_MstRadCltPre,C
qTP_MstRadCltPst,C
qTP_MstThrPre,C
qTP_MstTrbCltPre,C
qTP_MstTrbFntPre,C
qTP_MstTrbFntPst,C
qTP_MstTrbOilPst,C
qTP_MstTrbPre,C
qTP_MstTrbPst,C
qTP_MstTrbRerPre,C
qTP_MstTrbRerPst,C
qTP_OlcPre,C
qTP_RadCltPre,C
qTP_RadCltPst,C
qTP_RadPreBot,C
qTP_RadPreLft,C
qTP_RadPreRgt,C
qTP_RadPreTop,C
qTP_SlvAmb,C
qTP_SlvCacPre,C
qTP_SlvCacPst,C
qTP_SlvCatMid,C
qTP_SlvCatPre,C
qTP_SlvCatPst,C
qTP_SlvCmpFntPst,C
qTP_SlvCmpPre,C
qTP_SlvCmpPst,C
qTP_SlvCmpRerPst,C
qTP_SlvEngAirIn,C
qTP_SlvEngClt,C
qTP_SlvManExh,C
qTP_SlvManExhPre,C
qTP_SlvManExhSfcRer,C
qTP_SlvManInt,C
qTP_SlvPmpPre,C
qTP_SlvPmpPst,C
qTP_SlvRadCltPre,C
